restaurant_id,dish_name,description,category,meal_type,cuisine,calories,protein,carbs,fat,fiber,price,is_veg,image_url,ingredients,allergens,healthy_score,popularity_score,prep_time,spice_level,available
1,Grilled Chicken Power Bowl 1,Healthy chef special #1,Bowl,Breakfast,Healthy Indian,350,22,25,8,4,179,false,,Fresh ingredients,,85,80,10,None,true
2,High Protein Paneer Bowl 2,Healthy chef special #2,Bowl,Lunch,Continental,357,25,30,10,5,199,true,,Fresh ingredients,Milk,86,81,15,Mild,true
3,Egg White Wrap 3,Healthy chef special #3,Wrap,Dinner,Mediterranean,364,28,35,12,6,219,false,,Fresh ingredients,,87,82,20,Medium,true
4,Chicken Burrito Bowl 4,Healthy chef special #4,Bowl,Breakfast,Mexican,371,31,40,14,7,249,false,,Fresh ingredients,,88,83,25,None,true
5,Protein Oats 5,Healthy chef special #5,Meal,Lunch,Healthy Indian,378,34,45,16,8,269,true,,Fresh ingredients,,89,84,10,Mild,true
6,Greek Yogurt Parfait 6,Healthy chef special #6,Meal,Dinner,Continental,385,37,50,18,9,289,true,,Fresh ingredients,Milk,90,85,15,Medium,true
7,Chicken Caesar Salad 7,Healthy chef special #7,Meal,Breakfast,Mediterranean,392,40,55,20,10,299,false,,Fresh ingredients,,91,86,20,None,true
8,Peri Peri Chicken Bowl 8,Healthy chef special #8,Bowl,Lunch,Mexican,399,43,60,22,11,329,false,,Fresh ingredients,,92,87,25,Mild,true
9,Muscle Gain Rice Bowl 9,Healthy chef special #9,Bowl,Dinner,Healthy Indian,406,46,65,24,4,179,false,,Fresh ingredients,,93,88,10,Medium,true
10,Tofu Power Bowl 10,Healthy chef special #10,Bowl,Breakfast,Continental,413,49,25,8,5,199,true,,Fresh ingredients,,94,89,15,None,true
11,Chicken Quinoa Bowl 11,Healthy chef special #11,Bowl,Lunch,Mediterranean,420,22,30,10,6,219,false,,Fresh ingredients,,95,90,20,Mild,true
12,BBQ Chicken Bowl 12,Healthy chef special #12,Bowl,Dinner,Mexican,427,25,35,12,7,249,false,,Fresh ingredients,,96,91,25,Medium,true
